ID,Prompt,Relation,Image,Type,Agree
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_1.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_2.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_3.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_4.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_5.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_6.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_7.png,Physical,0.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_8.png,Physical,0.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_9.png,Physical,1.0
2,a blanket covering a box,covering,a_blanket_covering_a_box_image_10.png,Physical,0.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_1.png,Agentic,1.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_2.png,Agentic,1.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_3.png,Agentic,0.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_4.png,Agentic,1.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_5.png,Agentic,1.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_6.png,Agentic,1.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_7.png,Agentic,0.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_8.png,Agentic,0.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_9.png,Agentic,0.0
2,a man pushing a teacup,pushing,a_man_pushing_a_teacup_image_10.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_1.png,Agentic,0.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_2.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_3.png,Agentic,0.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_4.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_5.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_6.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_7.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_8.png,Agentic,1.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_9.png,Agentic,0.0
2,a woman hindering a robot,hindering,a_woman_hindering_a_robot_image_10.png,Agentic,0.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_1.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_2.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_3.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_4.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_5.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_6.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_7.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_8.png,Physical,0.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_9.png,Physical,1.0
2,a blanket near a teacup,near,a_blanket_near_a_teacup_image_10.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_1.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_2.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_3.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_4.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_5.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_6.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_7.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_8.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_9.png,Physical,1.0
2,a teacup under a cylinder,under,a_teacup_under_a_cylinder_image_10.png,Physical,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_1.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_2.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_3.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_4.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_5.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_6.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_7.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_8.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_9.png,Agentic,1.0
2,a robot pulling a monkey,pulling,a_robot_pulling_a_monkey_image_10.png,Agentic,1.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_1.png,Agentic,1.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_2.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_3.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_4.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_5.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_6.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_7.png,Agentic,1.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_8.png,Agentic,0.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_9.png,Agentic,1.0
2,a monkey pulling a cylinder,pulling,a_monkey_pulling_a_cylinder_image_10.png,Agentic,0.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_1.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_2.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_3.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_4.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_5.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_6.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_7.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_8.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_9.png,Physical,1.0
2,a blanket in a bowl,in,a_blanket_in_a_bowl_image_10.png,Physical,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_1.png,Agentic,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_2.png,Agentic,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_3.png,Agentic,1.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_4.png,Agentic,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_5.png,Agentic,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_6.png,Agentic,0.0
2,an iguana hitting a spoon,hitting,an_iguana_hitting_a_spoon_image_7.png,Agentic,0.0
