,test_condition,accuracy,agent,cotN,concept
0,average_accuracy,0.6246,HOITrans,chain_of_thought0,
1,average_accuracy,0.9142,Humans,chain_of_thought0,
2,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
3,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
4,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
5,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
6,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
7,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
8,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought0,adjust_or_tie++tie
9,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought0,adjust_or_tie++tie
10,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
11,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,adjust_or_tie++tie
12,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,block++sports_ball
13,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,block++sports_ball
14,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,block++sports_ball
15,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,block++sports_ball
16,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,blow++cake
17,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,blow++cake
18,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
19,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
20,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
21,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
22,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
23,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
24,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
25,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
26,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
27,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,board++train
28,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
29,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
30,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
31,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
32,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought0,brush_with++toothbrush
33,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
34,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
35,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
36,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
37,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought0,brush_with++toothbrush
38,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++handbag
39,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++handbag
40,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++handbag
41,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++handbag
42,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++handbag
43,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++handbag
44,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++handbag
45,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++handbag
46,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++handbag
47,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++handbag
48,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,carry++keyboard
49,test_seen_obj_seen_act,,gpt-4o,chain_of_thought0,carry++keyboard
50,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++snowboard
51,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++snowboard
52,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
53,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
54,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
55,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++suitcase
56,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
57,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++suitcase
58,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
59,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
60,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
61,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++suitcase
62,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
63,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++surfboard
64,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
65,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++surfboard
66,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
67,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
68,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
69,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought0,carry++surfboard
70,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
71,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,carry++surfboard
72,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
73,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
74,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
75,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
76,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought0,catch++frisbee
