Prompts,*Note: all knife replaced with spoon,,,,
a blanket in a bowl,,,,,
a blanket near a teacup,,,,,
a bowl hanging over a blanket,,,,,
a box hanging over a bowl,,,,,
a box in a bowl,,,,,
a box occluded by a teacup,,,,,
a box under a blanket,,,,,
a child helping a man,,,,,
a child kicking a box,,,,,
a cylinder in a box,,,,,
a teacup near a bowl,,,,,
a cylinder near a spoon,,,,,
a cylinder occluded by a teacup,,,,,
a cylinder on a spoon,,,,,
a cylinder under a spoon,,,,,
a man helping a man,,,,,
a man hindering a robot,,,,,
a man pushing a robot,,,,,
a monkey kicking a bowl,,,,,
a monkey pushing a box,,,,,
a robot helping a child,,,,,
a robot helping a robot,,,,,
a robot hindering an iguana,,,,,
a robot kicking a teacup,,,,,
a spoon in a bowl,,,,,
a spoon near a box,,,,,
a teacup hanging over a spoon,,,,,
a teacup in a bowl,,,,,
a woman kicking a box,,,,,
an iguana touching a cylinder,,,,,
a blanket covering a box,,,,,
a bowl on a box,,,,,
a box under a bowl,,,,,
a child hindering a robot,,,,,
a child hitting a teacup,,,,,
a child touching a bowl,,,,,
a cylinder hanging over a box,,,,,
a cylinder occluded by a box,,,,,
a robot hitting a robot,,,,,
a spoon tied to a blanket,,,,,
a teacup near a box,,,,,
a woman helping an iguana,,,,,
a woman hindering a robot,,,,,
a woman pulling a monkey,,,,,
an iguana pulling a robot,,,,,
a blanket covering a bowl,,,,,
a blanket covering a cylinder,,,,,
a blanket covering a spoon,,,,,
a blanket covering a teacup,,,,,
a blanket hanging over a spoon,,,,,
a blanket on a box,,,,,
a bowl under a blanket,,,,,
a box on a spoon,,,,,
a man hitting a box,,,,,
a child pulling a box,,,,,
a cylinder occluded by a bowl,,,,,
a man pushing a box,,,,,
a man touching a robot,,,,,
a monkey hindering a monkey,,,,,
a monkey hitting a bowl,,,,,
a monkey pulling a cylinder,,,,,
a monkey touching a teacup,,,,,
a robot kicking a bowl,,,,,
a robot pulling a monkey,,,,,
a spoon occluded by a cylinder,,,,,
a spoon on a bowl,,,,,
a teacup under a cylinder,,,,,
an iguana touching a spoon,,,,,
a blanket tied to a box,,,,,
a box tied to a bowl,,,,,
a box tied to a cylinder,,,,,
a child pushing a bowl,,,,,
a man pushing a teacup,,,,,
a teacup tied to a spoon,,,,,
an iguana hitting a spoon,,,,,
,,,,,
,,,,,
,,,,,
