,test_condition,accuracy,source,concept
0,average_accuracy,0.6246,HOITrans (oracle),
1,average_accuracy,0.9142,Human Data,
2,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
3,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
4,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,adjust_or_tie++tie
5,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
6,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
7,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,adjust_or_tie++tie
8,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
9,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
10,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,adjust_or_tie++tie
11,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,adjust_or_tie++tie
12,test_seen_obj_unseen_act,1.0,Chain of Thought 0,block++sports_ball
13,test_seen_obj_unseen_act,1.0,Chain of Thought 0,block++sports_ball
14,test_seen_obj_unseen_act,0.0,Chain of Thought 0,block++sports_ball
15,test_seen_obj_unseen_act,1.0,Chain of Thought 0,block++sports_ball
16,test_seen_obj_seen_act,1.0,Chain of Thought 0,blow++cake
17,test_seen_obj_seen_act,1.0,Chain of Thought 0,blow++cake
18,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
19,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
20,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
21,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
22,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
23,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
24,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
25,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
26,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
27,test_seen_obj_unseen_act,1.0,Chain of Thought 0,board++train
28,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,brush_with++toothbrush
29,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,brush_with++toothbrush
30,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,brush_with++toothbrush
31,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,brush_with++toothbrush
32,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,brush_with++toothbrush
33,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,brush_with++toothbrush
34,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,brush_with++toothbrush
35,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,brush_with++toothbrush
36,test_unseen_obj_unseen_act,1.0,Chain of Thought 0,brush_with++toothbrush
37,test_unseen_obj_unseen_act,0.0,Chain of Thought 0,brush_with++toothbrush
38,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++handbag
39,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++handbag
40,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++handbag
41,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++handbag
42,test_unseen_obj_seen_act,1.0,Chain of Thought 0,carry++handbag
43,test_unseen_obj_seen_act,0.0,Chain of Thought 0,carry++handbag
