ID,Prompt,Relation,Image,Type,Prompt Type,Agree
2,a box on a spoon,on,a_box_on_a_spoon_image_1.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_2.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_3.png,Physical,Original,0.0
2,a box on a spoon,on,a_box_on_a_spoon_image_4.png,Physical,Original,0.0
2,a box on a spoon,on,a_box_on_a_spoon_image_5.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_6.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_7.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_8.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_9.png,Physical,Original,1.0
2,a box on a spoon,on,a_box_on_a_spoon_image_10.png,Physical,Original,1.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_1.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_2.png,Agentic,Reversed,1.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_3.png,Agentic,Reversed,1.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_4.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_5.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_6.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_7.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_8.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_9.png,Agentic,Reversed,0.0
2,a child helping a robot,helping,a_child_helping_a_robot_image_10.png,Agentic,Reversed,0.0
2,a spoon near a box,near,a_spoon_near_a_box_image_1.png,Physical,Original,0.0
2,a spoon near a box,near,a_spoon_near_a_box_image_2.png,Physical,Original,0.0
2,a spoon near a box,near,a_spoon_near_a_box_image_3.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_4.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_5.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_6.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_7.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_8.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_9.png,Physical,Original,1.0
2,a spoon near a box,near,a_spoon_near_a_box_image_10.png,Physical,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_1.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_2.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_3.png,Agentic,Original,0.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_4.png,Agentic,Original,0.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_5.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_6.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_7.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_8.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_9.png,Agentic,Original,1.0
2,a monkey touching a teacup,touching,a_monkey_touching_a_teacup_image_10.png,Agentic,Original,0.0
2,a cylinder in a box,in,a_cylinder_in_a_box_image_1.png,Physical,Original,0.0
