,problem,num_incontext,attempt,accuracy,source
0,1.0,1.0,1,1.0,Chain of Thought 0
1,1.0,1.0,2,1.0,Chain of Thought 0
2,1.0,1.0,3,1.0,Chain of Thought 0
3,1.0,1.0,4,0.0,Chain of Thought 0
4,1.0,1.0,5,0.0,Chain of Thought 0
5,1.0,1.0,6,0.0,Chain of Thought 0
6,1.0,1.0,7,0.0,Chain of Thought 0
7,1.0,1.0,8,0.0,Chain of Thought 0
8,1.0,1.0,9,1.0,Chain of Thought 0
9,1.0,1.0,10,1.0,Chain of Thought 0
10,1.0,2.0,1,0.0,Chain of Thought 0
11,1.0,2.0,2,1.0,Chain of Thought 0
12,1.0,2.0,3,0.0,Chain of Thought 0
13,1.0,2.0,4,0.0,Chain of Thought 0
14,1.0,2.0,5,1.0,Chain of Thought 0
15,1.0,2.0,6,1.0,Chain of Thought 0
16,1.0,2.0,7,0.0,Chain of Thought 0
17,1.0,2.0,8,0.0,Chain of Thought 0
18,1.0,2.0,9,0.0,Chain of Thought 0
19,1.0,2.0,10,1.0,Chain of Thought 0
20,1.0,3.0,1,0.0,Chain of Thought 0
21,1.0,3.0,2,0.0,Chain of Thought 0
22,1.0,3.0,3,1.0,Chain of Thought 0
23,1.0,3.0,4,1.0,Chain of Thought 0
24,1.0,3.0,5,1.0,Chain of Thought 0
25,1.0,3.0,6,1.0,Chain of Thought 0
26,1.0,3.0,7,1.0,Chain of Thought 0
27,1.0,3.0,8,1.0,Chain of Thought 0
28,1.0,3.0,9,1.0,Chain of Thought 0
29,1.0,3.0,10,0.0,Chain of Thought 0
30,1.0,4.0,1,1.0,Chain of Thought 0
31,1.0,4.0,2,0.0,Chain of Thought 0
32,1.0,4.0,3,1.0,Chain of Thought 0
33,1.0,4.0,4,0.0,Chain of Thought 0
34,1.0,4.0,5,1.0,Chain of Thought 0
35,1.0,4.0,6,0.0,Chain of Thought 0
36,1.0,4.0,7,1.0,Chain of Thought 0
37,1.0,4.0,8,0.0,Chain of Thought 0
38,1.0,4.0,9,0.0,Chain of Thought 0
39,1.0,4.0,10,0.0,Chain of Thought 0
40,1.0,5.0,1,1.0,Chain of Thought 0
41,1.0,5.0,2,0.0,Chain of Thought 0
42,1.0,5.0,3,1.0,Chain of Thought 0
43,1.0,5.0,4,1.0,Chain of Thought 0
44,1.0,5.0,5,1.0,Chain of Thought 0
45,1.0,5.0,6,1.0,Chain of Thought 0
46,1.0,5.0,7,0.0,Chain of Thought 0
47,1.0,5.0,8,1.0,Chain of Thought 0
48,1.0,5.0,9,1.0,Chain of Thought 0
49,1.0,5.0,10,0.0,Chain of Thought 0
50,1.0,6.0,1,1.0,Chain of Thought 0
51,1.0,6.0,2,1.0,Chain of Thought 0
52,1.0,6.0,3,1.0,Chain of Thought 0
53,1.0,6.0,4,1.0,Chain of Thought 0
54,1.0,6.0,5,0.0,Chain of Thought 0
55,1.0,6.0,6,1.0,Chain of Thought 0
56,1.0,6.0,7,0.0,Chain of Thought 0
57,1.0,6.0,8,1.0,Chain of Thought 0
58,1.0,6.0,9,1.0,Chain of Thought 0
59,1.0,6.0,10,1.0,Chain of Thought 0
60,1.0,7.0,1,1.0,Chain of Thought 0
61,1.0,7.0,2,1.0,Chain of Thought 0
62,1.0,7.0,3,1.0,Chain of Thought 0
63,1.0,7.0,4,1.0,Chain of Thought 0
64,1.0,7.0,5,0.0,Chain of Thought 0
65,1.0,7.0,6,0.0,Chain of Thought 0
66,1.0,7.0,7,0.0,Chain of Thought 0
67,1.0,7.0,8,1.0,Chain of Thought 0
68,1.0,7.0,9,0.0,Chain of Thought 0
69,1.0,7.0,10,1.0,Chain of Thought 0
70,1.0,8.0,1,1.0,Chain of Thought 0
71,1.0,8.0,2,1.0,Chain of Thought 0
72,1.0,8.0,3,1.0,Chain of Thought 0
73,1.0,8.0,4,0.0,Chain of Thought 0
74,1.0,8.0,5,1.0,Chain of Thought 0
75,1.0,8.0,6,1.0,Chain of Thought 0
76,1.0,8.0,7,1.0,Chain of Thought 0
77,1.0,8.0,8,1.0,Chain of Thought 0
78,1.0,8.0,9,0.0,Chain of Thought 0
79,1.0,8.0,10,1.0,Chain of Thought 0
80,1.0,9.0,1,0.0,Chain of Thought 0
81,1.0,9.0,2,1.0,Chain of Thought 0
82,1.0,9.0,3,1.0,Chain of Thought 0
83,1.0,9.0,4,1.0,Chain of Thought 0
84,1.0,9.0,5,1.0,Chain of Thought 0
85,1.0,9.0,6,1.0,Chain of Thought 0
86,1.0,9.0,7,0.0,Chain of Thought 0
87,1.0,9.0,8,1.0,Chain of Thought 0
88,1.0,9.0,9,1.0,Chain of Thought 0
89,1.0,9.0,10,0.0,Chain of Thought 0
90,2.0,1.0,1,1.0,Chain of Thought 0
91,2.0,1.0,2,0.0,Chain of Thought 0
92,2.0,1.0,3,1.0,Chain of Thought 0
93,2.0,1.0,4,0.0,Chain of Thought 0
94,2.0,1.0,5,1.0,Chain of Thought 0
95,2.0,1.0,6,1.0,Chain of Thought 0
96,2.0,1.0,7,1.0,Chain of Thought 0
97,2.0,1.0,8,0.0,Chain of Thought 0
98,2.0,1.0,9,0.0,Chain of Thought 0
99,2.0,1.0,10,1.0,Chain of Thought 0
100,2.0,2.0,1,1.0,Chain of Thought 0
101,2.0,2.0,2,0.0,Chain of Thought 0
102,2.0,2.0,3,0.0,Chain of Thought 0
103,2.0,2.0,4,0.0,Chain of Thought 0
104,2.0,2.0,5,1.0,Chain of Thought 0
105,2.0,2.0,6,1.0,Chain of Thought 0
106,2.0,2.0,7,0.0,Chain of Thought 0
107,2.0,2.0,8,1.0,Chain of Thought 0
108,2.0,2.0,9,1.0,Chain of Thought 0
109,2.0,2.0,10,0.0,Chain of Thought 0
110,2.0,3.0,1,1.0,Chain of Thought 0
111,2.0,3.0,2,1.0,Chain of Thought 0
112,2.0,3.0,3,1.0,Chain of Thought 0
113,2.0,3.0,4,1.0,Chain of Thought 0
114,2.0,3.0,5,1.0,Chain of Thought 0
115,2.0,3.0,6,1.0,Chain of Thought 0
116,2.0,3.0,7,0.0,Chain of Thought 0
117,2.0,3.0,8,0.0,Chain of Thought 0
118,2.0,3.0,9,1.0,Chain of Thought 0
119,2.0,3.0,10,1.0,Chain of Thought 0
